Orthogroup	Apatococcus_fuscideae-Prasiolales.prot	Apatococcus_lobatus-Prasiolales.prot
OG0003159	KAK9865813.1, KAK9865814.1	KAK9837946.1
OG0003160	KAK9865825.1, KAK9865826.1	KAK9844638.1
OG0003161	KAK9865864.1, KAK9868011.1	KAK9818862.1
OG0003162	KAK9865869.1, KAK9865870.1, KAK9865871.1	
OG0003163	KAK9865872.1, KAK9865873.1	KAK9818869.1
OG0003164	KAK9865879.1	KAK9828347.1, KAK9828348.1
OG0003165	KAK9865901.1	KAK9841467.1, KAK9841468.1
OG0003166	KAK9865906.1	KAK9817581.1, KAK9841162.1
OG0003167	KAK9865920.1, KAK9866090.1, KAK9866091.1	
OG0003168	KAK9865929.1	KAK9822437.1, KAK9839130.1
OG0003169	KAK9865934.1	KAK9833096.1, KAK9833097.1
OG0003170	KAK9865946.1, KAK9867810.1	KAK9826347.1
OG0003171	KAK9865947.1, KAK9867801.1	KAK9826301.1
OG0003172	KAK9865949.1, KAK9867809.1	KAK9826333.1
OG0003173	KAK9865960.1, KAK9866454.1	KAK9822892.1
OG0003174	KAK9865973.1	KAK9820738.1, KAK9820739.1
OG0003175	KAK9865974.1	KAK9819197.1, KAK9819223.1
OG0003176	KAK9866005.1	KAK9833081.1, KAK9833082.1
OG0003177	KAK9866010.1, KAK9867815.1	KAK9832882.1
OG0003178	KAK9866013.1, KAK9867313.1	KAK9824928.1
OG0003179	KAK9866017.1, KAK9867312.1	KAK9824931.1
OG0003180	KAK9866018.1, KAK9867308.1	KAK9824867.1
OG0003181	KAK9866020.1	KAK9824861.1, KAK9824958.1
OG0003182	KAK9866023.1	KAK9825071.1, KAK9825072.1
OG0003183	KAK9866034.1	KAK9839959.1, KAK9839960.1
OG0003184	KAK9866049.1, KAK9866050.1	KAK9838036.1
OG0003185	KAK9866059.1	KAK9841376.1, KAK9841377.1
OG0003186	KAK9866065.1, KAK9866066.1	KAK9825244.1
OG0003187	KAK9866068.1, KAK9866822.1	KAK9836905.1
OG0003188	KAK9866071.1, KAK9866072.1	KAK9820898.1
OG0003189	KAK9866120.1	KAK9818725.1, KAK9836497.1
OG0003190	KAK9866142.1, KAK9866143.1	KAK9844966.1
OG0003191	KAK9866174.1, KAK9868242.1	KAK9844640.1
OG0003192	KAK9866182.1	KAK9839928.1, KAK9839929.1
OG0003193	KAK9866185.1	KAK9822514.1, KAK9844463.1
OG0003194	KAK9866195.1	KAK9822596.1, KAK9844268.1
OG0003195	KAK9866200.1, KAK9866201.1	KAK9836536.1
OG0003196	KAK9866203.1, KAK9866204.1	KAK9836473.1
OG0003197	KAK9866207.1, KAK9866208.1	KAK9836705.1
OG0003198	KAK9866209.1, KAK9866210.1, KAK9866211.1	
OG0003199	KAK9866225.1	KAK9818615.1, KAK9819213.1
OG0003200	KAK9866226.1, KAK9867625.1	KAK9818653.1
OG0003201	KAK9866235.1	KAK9834714.1, KAK9834715.1
OG0003202	KAK9866237.1, KAK9867385.1	KAK9834414.1
OG0003203	KAK9866242.1, KAK9867392.1	KAK9834590.1
OG0003204	KAK9866255.1	KAK9831609.1, KAK9831610.1
OG0003205	KAK9866271.1, KAK9868678.1	KAK9842721.1
OG0003206	KAK9866287.1	KAK9819438.1, KAK9821863.1
OG0003207	KAK9866306.1, KAK9866307.1, KAK9866308.1	
OG0003208	KAK9866310.1	KAK9831256.1, KAK9834642.1
OG0003209	KAK9866318.1, KAK9866322.1	KAK9817408.1
OG0003210	KAK9866321.1, KAK9866323.1	KAK9817421.1
OG0003211	KAK9866324.1	KAK9817399.1, KAK9840158.1
OG0003212	KAK9866328.1, KAK9867608.1	KAK9842918.1
OG0003213	KAK9866331.1, KAK9866332.1	KAK9842925.1
OG0003214	KAK9866349.1	KAK9833659.1, KAK9839054.1
OG0003215	KAK9866350.1	KAK9835530.1, KAK9835531.1
OG0003216	KAK9866367.1	KAK9827864.1, KAK9833727.1
OG0003217	KAK9866373.1	KAK9844419.1, KAK9844420.1
OG0003218	KAK9866379.1, KAK9866380.1	KAK9825771.1
OG0003219	KAK9866390.1	KAK9835724.1, KAK9835725.1
OG0003220	KAK9866395.1	KAK9835632.1, KAK9835803.1
OG0003221	KAK9866396.1, KAK9866397.1	KAK9835735.1
OG0003222	KAK9866398.1	KAK9835748.1, KAK9835749.1
OG0003223	KAK9866403.1	KAK9824925.1, KAK9830833.1
OG0003224	KAK9866415.1	KAK9819096.1, KAK9819117.1
OG0003225	KAK9866435.1, KAK9866436.1	KAK9836487.1
OG0003226	KAK9866437.1	KAK9840336.1, KAK9840337.1
OG0003227	KAK9866438.1, KAK9866439.1	KAK9836604.1
OG0003228	KAK9866446.1	KAK9836701.1, KAK9836702.1
OG0003229	KAK9866471.1	KAK9836616.1, KAK9836617.1
OG0003230	KAK9866472.1	KAK9836611.1, KAK9836612.1
OG0003231	KAK9866492.1	KAK9819133.1, KAK9845008.1
OG0003232	KAK9866502.1, KAK9867006.1	KAK9837732.1
OG0003233	KAK9866508.1, KAK9866509.1	KAK9842726.1
OG0003234	KAK9866530.1, KAK9866531.1, KAK9866532.1	
OG0003235	KAK9866552.1, KAK9866553.1, KAK9866554.1	
OG0003236	KAK9866565.1, KAK9866566.1	KAK9835739.1
OG0003237	KAK9866570.1	KAK9835518.1, KAK9835519.1
OG0003238	KAK9866593.1, KAK9866594.1	KAK9839143.1
OG0003239	KAK9866597.1	KAK9839019.1, KAK9839020.1
OG0003240	KAK9866598.1	KAK9827452.1, KAK9841373.1
OG0003241	KAK9866610.1, KAK9866611.1	KAK9836556.1
OG0003242	KAK9866615.1	KAK9836832.1, KAK9836833.1
OG0003243	KAK9866626.1	KAK9835667.1, KAK9835914.1
OG0003244	KAK9866633.1	KAK9830681.1, KAK9830682.1
OG0003245	KAK9866635.1, KAK9866636.1	KAK9830732.1
OG0003246	KAK9866642.1	KAK9832459.1, KAK9840325.1
OG0003247	KAK9866645.1, KAK9866646.1	KAK9832439.1
OG0003248	KAK9866650.1	KAK9842784.1, KAK9842785.1
OG0003249	KAK9866657.1	KAK9821639.1, KAK9842787.1
OG0003250	KAK9866681.1, KAK9866682.1	KAK9833808.1
OG0003251	KAK9866683.1, KAK9866684.1	KAK9833695.1
OG0003252	KAK9866688.1, KAK9866689.1	KAK9822031.1
OG0003253	KAK9866691.1	KAK9822121.1, KAK9844293.1
OG0003254	KAK9866709.1, KAK9866710.1	KAK9840478.1
OG0003255	KAK9866729.1, KAK9866730.1	KAK9828209.1
OG0003256	KAK9866740.1	KAK9828335.1, KAK9828336.1
OG0003257	KAK9866744.1	KAK9831095.1, KAK9831096.1
OG0003258	KAK9866752.1	KAK9831033.1, KAK9831034.1
OG0003259	KAK9866770.1, KAK9866771.1	KAK9827793.1
OG0003260	KAK9866776.1	KAK9827423.1, KAK9827424.1
OG0003261	KAK9866783.1, KAK9866784.1	KAK9827409.1
OG0003262	KAK9866794.1	KAK9835892.1, KAK9835893.1
OG0003263	KAK9866799.1	KAK9819005.1, KAK9835827.1
OG0003264	KAK9866806.1	KAK9821522.1, KAK9821523.1
OG0003265	KAK9866811.1, KAK9866812.1	KAK9840215.1
OG0003266	KAK9866818.1, KAK9867918.1	KAK9840171.1
OG0003267	KAK9866827.1, KAK9867919.1	KAK9840073.1
OG0003268	KAK9866829.1, KAK9868353.1	KAK9827477.1
OG0003269	KAK9866830.1	KAK9838006.1, KAK9839111.1
OG0003270	KAK9866858.1	KAK9835718.1, KAK9844795.1
OG0003271	KAK9866889.1, KAK9866890.1	KAK9831734.1
OG0003272	KAK9866925.1	KAK9817470.1, KAK9818572.1
OG0003273	KAK9866948.1	KAK9825608.1, KAK9825609.1
OG0003274	KAK9867013.1, KAK9867014.1	KAK9840241.1
OG0003275	KAK9867028.1	KAK9822733.1, KAK9828334.1
OG0003276	KAK9867030.1	KAK9833895.1, KAK9833896.1
OG0003277	KAK9867033.1, KAK9867034.1	KAK9833601.1
OG0003278	KAK9867048.1	KAK9822775.1, KAK9822776.1
OG0003279	KAK9867051.1, KAK9867052.1	KAK9822757.1
OG0003280	KAK9867060.1, KAK9867061.1	KAK9816374.1
OG0003281	KAK9867073.1, KAK9867074.1	KAK9844899.1
OG0003282	KAK9867087.1, KAK9867088.1	KAK9826294.1
OG0003283	KAK9867105.1	KAK9843132.1, KAK9843133.1
OG0003284	KAK9867141.1	KAK9816393.1, KAK9821667.1
OG0003285	KAK9867160.1	KAK9825746.1, KAK9825747.1
OG0003286	KAK9867176.1	KAK9820930.1, KAK9842859.1
OG0003287	KAK9867206.1, KAK9867207.1	KAK9844620.1
OG0003288	KAK9867208.1	KAK9833861.1, KAK9833862.1
OG0003289	KAK9867220.1, KAK9867631.1	KAK9842691.1
OG0003290	KAK9867222.1, KAK9867626.1	KAK9842892.1
OG0003291	KAK9867226.1, KAK9868658.1	KAK9837835.1
OG0003292	KAK9867227.1, KAK9868662.1	KAK9837962.1
OG0003293	KAK9867230.1, KAK9868540.1	KAK9825743.1
OG0003294	KAK9867231.1, KAK9868655.1	KAK9837675.1
OG0003295	KAK9867234.1, KAK9868657.1	KAK9837880.1
OG0003296	KAK9867235.1	KAK9837706.1, KAK9844574.1
OG0003297	KAK9867236.1, KAK9868661.1	KAK9837602.1
OG0003298	KAK9867249.1	KAK9825210.1, KAK9830797.1
OG0003299	KAK9867262.1, KAK9867263.1	KAK9827912.1
OG0003300	KAK9867272.1	KAK9827887.1, KAK9827890.1
OG0003301	KAK9867294.1, KAK9867295.1	KAK9822038.1
OG0003302	KAK9867298.1	KAK9825241.1, KAK9825242.1
OG0003303	KAK9867305.1, KAK9867306.1	KAK9824950.1
OG0003304	KAK9867311.1	KAK9824886.1, KAK9841158.1
OG0003305	KAK9867327.1	KAK9842732.1, KAK9842733.1
OG0003306	KAK9867328.1, KAK9868686.1	KAK9843165.1
OG0003307	KAK9867338.1, KAK9867339.1	KAK9818861.1
OG0003308	KAK9867340.1, KAK9867341.1	KAK9826706.1
OG0003309	KAK9867343.1, KAK9867344.1	KAK9818866.1
OG0003310	KAK9867384.1, KAK9868271.1	KAK9818483.1
OG0003311	KAK9867421.1	KAK9822042.1, KAK9822043.1
OG0003312	KAK9867435.1, KAK9867436.1, KAK9867437.1	
OG0003313	KAK9867442.1, KAK9867443.1	KAK9834787.1
OG0003314	KAK9867450.1, KAK9867451.1	KAK9827094.1
OG0003315	KAK9867461.1	KAK9820666.1, KAK9841313.1
OG0003316	KAK9867483.1, KAK9868369.1	KAK9845072.1
OG0003317	KAK9867489.1, KAK9867490.1	KAK9844559.1
OG0003318	KAK9867495.1	KAK9834627.1, KAK9834628.1
OG0003319	KAK9867497.1, KAK9867498.1	KAK9834675.1
OG0003320	KAK9867502.1	KAK9834764.1, KAK9834765.1
OG0003321	KAK9867528.1	KAK9821638.1, KAK9832905.1
OG0003322	KAK9867530.1	KAK9833655.1, KAK9833656.1
OG0003323	KAK9867539.1	KAK9843371.1, KAK9843372.1
OG0003324	KAK9867542.1	KAK9842651.1, KAK9843368.1
OG0003325	KAK9867543.1	KAK9842953.1, KAK9842954.1
OG0003326	KAK9867558.1	KAK9815984.1, KAK9821009.1
OG0003327	KAK9867562.1	KAK9833599.1, KAK9833600.1
OG0003328	KAK9867573.1	KAK9833823.1, KAK9833824.1
OG0003329	KAK9867586.1, KAK9867587.1	KAK9822012.1
OG0003330	KAK9867598.1	KAK9838687.1, KAK9838745.1
OG0003331	KAK9867613.1, KAK9868143.1	KAK9843043.1
OG0003332	KAK9867616.1, KAK9868145.1	KAK9842802.1
OG0003333	KAK9867620.1, KAK9868134.1	KAK9843092.1
OG0003334	KAK9867621.1, KAK9868135.1	KAK9842672.1
OG0003335	KAK9867628.1, KAK9867629.1	KAK9843287.1
OG0003336	KAK9867630.1	KAK9818620.1, KAK9818621.1
OG0003337	KAK9867651.1, KAK9867652.1	KAK9818558.1
OG0003338	KAK9867653.1, KAK9867654.1	KAK9818544.1
OG0003339	KAK9867682.1, KAK9868919.1	KAK9841229.1
OG0003340	KAK9867683.1, KAK9868922.1	KAK9841322.1
OG0003341	KAK9867689.1, KAK9868904.1	KAK9841283.1
OG0003342	KAK9867693.1, KAK9867694.1	KAK9841526.1
OG0003343	KAK9867699.1	KAK9841685.1, KAK9844695.1
OG0003344	KAK9867701.1, KAK9868907.1	KAK9841620.1
OG0003345	KAK9867707.1	KAK9840287.1, KAK9840288.1
OG0003346	KAK9867716.1	KAK9826987.1, KAK9841214.1
OG0003347	KAK9867718.1, KAK9868673.1	KAK9843358.1
OG0003348	KAK9867721.1, KAK9868676.1	KAK9843082.1
OG0003349	KAK9867723.1	KAK9843242.1, KAK9843243.1
OG0003350	KAK9867724.1, KAK9868669.1	KAK9842653.1
OG0003351	KAK9867728.1, KAK9868683.1	KAK9843056.1
OG0003352	KAK9867731.1, KAK9868689.1	KAK9842706.1
OG0003353	KAK9867734.1	KAK9833050.1, KAK9833051.1
OG0003354	KAK9867737.1, KAK9867738.1	KAK9833049.1
OG0003355	KAK9867741.1	KAK9833157.1, KAK9833158.1
OG0003356	KAK9867756.1	KAK9837684.1, KAK9837940.1
OG0003357	KAK9867773.1	KAK9835794.1, KAK9835795.1
OG0003358	KAK9867779.1, KAK9867780.1	KAK9835613.1
OG0003359	KAK9867786.1	KAK9822921.1, KAK9841422.1
OG0003360	KAK9867795.1	KAK9841130.1, KAK9841602.1
OG0003361	KAK9867812.1, KAK9867813.1	KAK9832902.1
OG0003362	KAK9867824.1	KAK9831289.1, KAK9833129.1
OG0003363	KAK9867840.1	KAK9826324.1, KAK9838773.1
OG0003364	KAK9867864.1, KAK9867865.1	KAK9821195.1
OG0003365	KAK9867880.1, KAK9868264.1	KAK9827220.1
OG0003366	KAK9867884.1	KAK9815974.1, KAK9836461.1
OG0003367	KAK9867889.1, KAK9867890.1	KAK9836495.1
OG0003368	KAK9867896.1	KAK9836761.1, KAK9836762.1
OG0003369	KAK9867897.1, KAK9867898.1	KAK9836488.1
OG0003370	KAK9867899.1	KAK9836685.1, KAK9836686.1
OG0003371	KAK9867902.1, KAK9867903.1	KAK9836898.1
OG0003372	KAK9867907.1	KAK9836734.1, KAK9836735.1
OG0003373	KAK9867924.1	KAK9840263.1, KAK9840264.1
OG0003374	KAK9867929.1	KAK9845066.1, KAK9845067.1
OG0003375	KAK9867932.1	KAK9825065.1, KAK9842652.1
OG0003376	KAK9867937.1, KAK9867938.1	KAK9818724.1
OG0003377	KAK9867947.1	KAK9818759.1, KAK9818760.1
OG0003378	KAK9868017.1, KAK9868018.1	KAK9837953.1
OG0003379	KAK9868040.1	KAK9831110.1, KAK9832452.1
OG0003380	KAK9868041.1, KAK9868042.1	KAK9832252.1
OG0003381	KAK9868048.1, KAK9868049.1	KAK9841630.1
OG0003382	KAK9868051.1	KAK9841478.1, KAK9841479.1
OG0003383	KAK9868057.1	KAK9838849.1, KAK9841616.1
OG0003384	KAK9868072.1	KAK9825788.1, KAK9835758.1
OG0003385	KAK9868077.1	KAK9835874.1, KAK9835875.1
OG0003386	KAK9868082.1	KAK9820665.1, KAK9820690.1
OG0003387	KAK9868088.1	KAK9815992.1, KAK9820662.1
OG0003388	KAK9868093.1	KAK9820679.1, KAK9833702.1
OG0003389	KAK9868112.1, KAK9868113.1	KAK9816067.1
OG0003390	KAK9868120.1	KAK9818490.1, KAK9818491.1
OG0003391	KAK9868123.1, KAK9868124.1	KAK9836747.1
OG0003392	KAK9868140.1	KAK9843153.1, KAK9843154.1
OG0003393	KAK9868151.1, KAK9868152.1	KAK9842716.1
OG0003394	KAK9868155.1	KAK9828193.1, KAK9833790.1
OG0003395	KAK9868159.1	KAK9821519.1, KAK9828183.1
OG0003396	KAK9868163.1	KAK9828356.1, KAK9828357.1
OG0003397	KAK9868174.1	KAK9828205.1, KAK9828206.1
OG0003398	KAK9868183.1	KAK9844343.1, KAK9844344.1
OG0003399	KAK9868192.1, KAK9868193.1	KAK9833872.1
OG0003400	KAK9868199.1	KAK9833931.1, KAK9833932.1
OG0003401	KAK9868210.1	KAK9833710.1, KAK9833711.1
OG0003402	KAK9868213.1, KAK9868214.1	KAK9833762.1
OG0003403	KAK9868227.1	KAK9838666.1, KAK9838667.1
OG0003404	KAK9868231.1	KAK9833121.1, KAK9833122.1
OG0003405	KAK9868258.1	KAK9825258.1, KAK9825259.1
OG0003406	KAK9868269.1, KAK9868270.1	KAK9825296.1
OG0003407	KAK9868277.1, KAK9868924.1	KAK9841154.1
OG0003408	KAK9868278.1, KAK9868279.1, KAK9868280.1	
OG0003409	KAK9868284.1, KAK9868921.1	KAK9841690.1
OG0003410	KAK9868286.1, KAK9868906.1	KAK9841277.1
OG0003411	KAK9868287.1, KAK9868908.1	KAK9841665.1
OG0003412	KAK9868300.1, KAK9868905.1	KAK9841694.1
OG0003413	KAK9868322.1	KAK9825998.1, KAK9831239.1
OG0003414	KAK9868323.1, KAK9868324.1	KAK9844515.1
OG0003415	KAK9868325.1	KAK9822799.1, KAK9845023.1
OG0003416	KAK9868330.1, KAK9868331.1	KAK9844500.1
OG0003417	KAK9868340.1	KAK9835629.1, KAK9844723.1
OG0003418	KAK9868341.1	KAK9832350.1, KAK9844742.1
OG0003419	KAK9868354.1	KAK9838790.1, KAK9839132.1
OG0003420	KAK9868379.1, KAK9868380.1	KAK9830779.1
OG0003421	KAK9868413.1, KAK9868414.1	KAK9833118.1
OG0003422	KAK9868416.1, KAK9868417.1, KAK9868418.1	
OG0003423	KAK9868421.1	KAK9833124.1, KAK9844755.1
OG0003424	KAK9868422.1	KAK9832914.1, KAK9832915.1
OG0003425	KAK9868429.1	KAK9834452.1, KAK9834453.1
OG0003426	KAK9868436.1	KAK9834654.1, KAK9834655.1
OG0003427	KAK9868456.1, KAK9868789.1	KAK9822975.1
OG0003428	KAK9868475.1, KAK9868476.1	KAK9832428.1
OG0003429	KAK9868477.1, KAK9868478.1	KAK9825055.1
OG0003430	KAK9868496.1, KAK9868497.1	KAK9838944.1
OG0003431	KAK9868513.1	KAK9818470.1, KAK9818471.1
OG0003432	KAK9868515.1, KAK9868621.1	KAK9844513.1
OG0003433	KAK9868529.1	KAK9818443.1, KAK9818444.1
OG0003434	KAK9868564.1, KAK9868565.1	KAK9832263.1
OG0003435	KAK9868568.1	KAK9817472.1, KAK9817473.1
OG0003436	KAK9868573.1, KAK9868574.1	KAK9839154.1
OG0003437	KAK9868589.1	KAK9822614.1, KAK9827570.1
OG0003438	KAK9868594.1, KAK9868595.1	KAK9831202.1
OG0003439	KAK9868603.1	KAK9841560.1, KAK9841561.1
OG0003440	KAK9868605.1	KAK9831231.1, KAK9832365.1
OG0003441	KAK9868610.1, KAK9868611.1	KAK9816048.1
OG0003442	KAK9868618.1	KAK9816265.1, KAK9822099.1
OG0003443	KAK9868620.1	KAK9816045.1, KAK9819442.1
OG0003444	KAK9868632.1	KAK9819341.1, KAK9819348.1
OG0003445	KAK9868637.1	KAK9815957.1, KAK9826520.1
OG0003446	KAK9868640.1	KAK9821246.1, KAK9825958.1
OG0003447	KAK9868730.1	KAK9835812.1, KAK9842649.1
OG0003448	KAK9868767.1	KAK9822289.1, KAK9834760.1
OG0003449	KAK9868770.1	KAK9835660.1, KAK9835661.1
OG0003450	KAK9868794.1, KAK9868795.1, KAK9868796.1	
OG0003451	KAK9868798.1	KAK9822917.1, KAK9822961.1
OG0003452	KAK9868802.1	KAK9828214.1, KAK9828215.1
OG0003453	KAK9868804.1, KAK9868913.1	KAK9828226.1
OG0003454	KAK9868885.1	KAK9835910.1, KAK9836757.1
OG0003455	KAK9868896.1, KAK9868897.1	KAK9831272.1
OG0003456	KAK9868911.1, KAK9868914.1	KAK9836587.1
OG0003457	KAK9868930.1, KAK9868931.1	KAK9828294.1
OG0003458	KAK9868959.1	KAK9837697.1, KAK9837773.1
OG0003459	KAK9868960.1	KAK9833178.1, KAK9833179.1
OG0003460	KAK9868962.1, KAK9868963.1	KAK9832877.1
OG0003461	KAK9868970.1, KAK9868974.1	KAK9841536.1
OG0003462	KAK9868982.1, KAK9868983.1	KAK9837927.1
OG0003463	KAK9868987.1, KAK9868988.1	KAK9837682.1
OG0003464	KAK9868995.1, KAK9868996.1	KAK9826288.1
OG0003465	KAK9869001.1	KAK9820797.1, KAK9837813.1
OG0003466	KAK9869015.1	KAK9840177.1, KAK9840178.1
OG0003467	KAK9869043.1	KAK9840458.1, KAK9840459.1
OG0003468	KAK9869078.1	KAK9818815.1, KAK9818816.1
OG0003469	KAK9869085.1	KAK9824756.1, KAK9824757.1
OG0003470	KAK9869088.1	KAK9818801.1, KAK9821057.1
OG0003471	KAK9869090.1	KAK9819012.1, KAK9819013.1
OG0003472	Null	KAK9815207.1, KAK9817323.1, KAK9817324.1
OG0003473	Null	KAK9815989.1, KAK9818651.1, KAK9836781.1
OG0003474	Null	KAK9815990.1, KAK9815991.1, KAK9843215.1
OG0003475	Null	KAK9816084.1, KAK9816164.1, KAK9827133.1
OG0003476	Null	KAK9816086.1, KAK9827118.1, KAK9827189.1
OG0003477	Null	KAK9816109.1, KAK9844374.1, KAK9845140.1
OG0003478	Null	KAK9816113.1, KAK9826977.1, KAK9827184.1
OG0003479	Null	KAK9816124.1, KAK9816139.1, KAK9827059.1
OG0003480	Null	KAK9816183.1, KAK9816184.1, KAK9816188.1
OG0003481	Null	KAK9816239.1, KAK9825561.1, KAK9825562.1
OG0003482	Null	KAK9816242.1, KAK9820809.1, KAK9821367.1
OG0003483	Null	KAK9816275.1, KAK9840360.1, KAK9844432.1
OG0003484	Null	KAK9817366.1, KAK9817367.1, KAK9831104.1
OG0003485	Null	KAK9817379.1, KAK9817380.1, KAK9817381.1
OG0003486	Null	KAK9817383.1, KAK9833798.1, KAK9833799.1
OG0003487	Null	KAK9817557.1, KAK9821525.1, KAK9821526.1
OG0003488	Null	KAK9818669.1, KAK9818670.1, KAK9818778.1
OG0003489	Null	KAK9818676.1, KAK9818677.1, KAK9818678.1
OG0003490	Null	KAK9818730.1, KAK9818732.1, KAK9819119.1
OG0003491	Null	KAK9818739.1, KAK9827753.1, KAK9836777.1
OG0003492	Null	KAK9818765.1, KAK9839091.1, KAK9839092.1
OG0003493	Null	KAK9818788.1, KAK9822415.1, KAK9834745.1
OG0003494	Null	KAK9818920.1, KAK9836682.1, KAK9836683.1
OG0003495	Null	KAK9818934.1, KAK9831205.1, KAK9831206.1
OG0003496	Null	KAK9818936.1, KAK9818937.1, KAK9818938.1
OG0003497	Null	KAK9818960.1, KAK9834538.1, KAK9844617.1
OG0003498	Null	KAK9819191.1, KAK9819226.1, KAK9819227.1
OG0003499	Null	KAK9819525.1, KAK9825309.1, KAK9834493.1
OG0003500	Null	KAK9820775.1, KAK9820789.1, KAK9820810.1
OG0003501	Null	KAK9820777.1, KAK9820778.1, KAK9838873.1
OG0003502	Null	KAK9820816.1, KAK9820817.1, KAK9841159.1
OG0003503	Null	KAK9820919.1, KAK9822528.1, KAK9838853.1
OG0003504	Null	KAK9820920.1, KAK9842686.1, KAK9843373.1
OG0003505	Null	KAK9820933.1, KAK9820934.1, KAK9822409.1
OG0003506	Null	KAK9821156.1, KAK9825248.1, KAK9825249.1
OG0003507	Null	KAK9821345.1, KAK9827765.1, KAK9827819.1
OG0003508	Null	KAK9821354.1, KAK9821363.1, KAK9821400.1
OG0003509	Null	KAK9821662.1, KAK9831124.1, KAK9842662.1
OG0003510	Null	KAK9822144.1, KAK9822145.1, KAK9836668.1
OG0003511	Null	KAK9822264.1, KAK9841135.1, KAK9844270.1
OG0003512	Null	KAK9822290.1, KAK9822291.1, KAK9822292.1
OG0003513	Null	KAK9822611.1, KAK9822612.1, KAK9822613.1
OG0003514	Null	KAK9822758.1, KAK9831732.1, KAK9831733.1
OG0003515	Null	KAK9822877.1, KAK9822878.1, KAK9822879.1
OG0003516	Null	KAK9822925.1, KAK9827916.1, KAK9827917.1
OG0003517	Null	KAK9824714.1, KAK9824735.1, KAK9824768.1
OG0003518	Null	KAK9824716.1, KAK9824717.1, KAK9827798.1
OG0003519	Null	KAK9824775.1, KAK9824778.1, KAK9824779.1
OG0003520	Null	KAK9825115.1, KAK9832993.1, KAK9832994.1
OG0003521	Null	KAK9825295.1, KAK9827472.1, KAK9832323.1
OG0003522	Null	KAK9825539.1, KAK9825540.1, KAK9841521.1
OG0003523	Null	KAK9825801.1, KAK9842654.1, KAK9843083.1
OG0003524	Null	KAK9826258.1, KAK9826259.1, KAK9826260.1
OG0003525	Null	KAK9826268.1, KAK9826287.1, KAK9826345.1
OG0003526	Null	KAK9826272.1, KAK9826273.1, KAK9826274.1
OG0003527	Null	KAK9826705.1, KAK9827456.1, KAK9843089.1
OG0003528	Null	KAK9826996.1, KAK9826997.1, KAK9826998.1
OG0003529	Null	KAK9827004.1, KAK9827135.1, KAK9844616.1
OG0003530	Null	KAK9827008.1, KAK9827009.1, KAK9827010.1
OG0003531	Null	KAK9827038.1, KAK9827109.1, KAK9831045.1
OG0003532	Null	KAK9827060.1, KAK9827233.1, KAK9831030.1
OG0003533	Null	KAK9827534.1, KAK9827535.1, KAK9827536.1
OG0003534	Null	KAK9827550.1, KAK9827551.1, KAK9827552.1
OG0003535	Null	KAK9827791.1, KAK9834532.1, KAK9836728.1
OG0003536	Null	KAK9827943.1, KAK9827944.1, KAK9827945.1
OG0003537	Null	KAK9828198.1, KAK9828248.1, KAK9828360.1
OG0003538	Null	KAK9830739.1, KAK9830868.1, KAK9830869.1
OG0003539	Null	KAK9830783.1, KAK9830784.1, KAK9830785.1
OG0003540	Null	KAK9831692.1, KAK9831766.1, KAK9841320.1
OG0003541	Null	KAK9831744.1, KAK9831745.1, KAK9831746.1
OG0003542	Null	KAK9832168.1, KAK9837820.1, KAK9838026.1
OG0003543	Null	KAK9833629.1, KAK9833630.1, KAK9833631.1
OG0003544	Null	KAK9833739.1, KAK9836654.1, KAK9836655.1
OG0003545	Null	KAK9833759.1, KAK9835520.1, KAK9835824.1
OG0003546	Null	KAK9833779.1, KAK9833780.1, KAK9833781.1
OG0003547	Null	KAK9834386.1, KAK9834583.1, KAK9834584.1
OG0003548	Null	KAK9834528.1, KAK9834788.1, KAK9834789.1
OG0003549	Null	KAK9834560.1, KAK9834561.1, KAK9834562.1
OG0003550	Null	KAK9834571.1, KAK9834572.1, KAK9834689.1
OG0003551	Null	KAK9834629.1, KAK9838702.1, KAK9839049.1
OG0003552	Null	KAK9835485.1, KAK9835486.1, KAK9835487.1
OG0003553	Null	KAK9835590.1, KAK9835591.1, KAK9835592.1
OG0003554	Null	KAK9836661.1, KAK9836662.1, KAK9836663.1
OG0003555	Null	KAK9836691.1, KAK9836894.1, KAK9836895.1
OG0003556	Null	KAK9836743.1, KAK9836744.1, KAK9836745.1
OG0003557	Null	KAK9836810.1, KAK9836811.1, KAK9836812.1
OG0003558	Null	KAK9836838.1, KAK9836839.1, KAK9836840.1
OG0003559	Null	KAK9837702.1, KAK9837703.1, KAK9837704.1
OG0003560	Null	KAK9837765.1, KAK9837766.1, KAK9837767.1
OG0003561	Null	KAK9838045.1, KAK9838046.1, KAK9838047.1
OG0003562	Null	KAK9838630.1, KAK9838992.1, KAK9839164.1
OG0003563	Null	KAK9838632.1, KAK9838703.1, KAK9838704.1
OG0003564	Null	KAK9838865.1, KAK9838936.1, KAK9839045.1
OG0003565	Null	KAK9838968.1, KAK9838969.1, KAK9838970.1
OG0003566	Null	KAK9838994.1, KAK9838995.1, KAK9839066.1
OG0003567	Null	KAK9839002.1, KAK9840068.1, KAK9840110.1
OG0003568	Null	KAK9840147.1, KAK9840148.1, KAK9840149.1
OG0003569	Null	KAK9840397.1, KAK9840398.1, KAK9840399.1
OG0003570	Null	KAK9841174.1, KAK9841175.1, KAK9841176.1
OG0003571	Null	KAK9841224.1, KAK9841225.1, KAK9841226.1
